Avocet_Outback.res,Shelduck_Healthy.res,Temperate_Duck_Flu_Ng.res,Turnstone_Temperate_Flu_Ng.res,Superkingdom,Kingdom,Phylum,Class,Order,Family
0.0,5.74,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinobacteria,unk_o,unk_f
9.059999999999999,0.0,7.75,2.01,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae
0.0,2.0,0.0,0.0,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae
4.74,0.0,0.0,0.0,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae
0.0,0.0,2.6,0.0,Bacteria,unk_k,Bacteroidetes,unk_c,unk_o,unk_f
156.38,0.0,0.0,3.32,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae
0.0,0.0,3.05,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,
0.0,0.0,365.62,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae
0.0,0.0,6.93,0.0,Bacteria,unk_k,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
0.0,0.0,6.84,0.0,Bacteria,unk_k,Firmicutes,unk_c,unk_o,unk_f
33.97,84.53999999999999,289.15999999999997,15.87,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae
2.87,53.81,10.0,0.0,Bacteria,unk_k,Fusobacteria,unk_c,unk_o,unk_f
9.42,0.0,0.0,0.0,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae
19.630000000000003,0.0,13.29,0.0,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae
84.45,12.530000000000001,6.59,2.93,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
70.73,0.0,0.0,3.72,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f
0.0,0.0,5.67,0.0,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae
67.43,0.0,0.0,0.0,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Capnodiales,unk_f
7.54,0.0,0.0,0.0,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae
20.52,0.0,0.0,0.0,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae
3.03,0.0,0.0,0.0,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,
418.49,11.23,0.0,0.0,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae
0.0,4.29,0.0,0.0,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae
0.0,3.93,0.0,0.0,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unk_f
0.0,3.68,0.0,0.0,Eukaryota,Fungi,Ascomycota,Dothideomycetes,unk_o,Pseudoperisporiaceae
29.220000000000002,0.0,0.0,0.0,Eukaryota,Fungi,Ascomycota,Dothideomycetes,unk_o,unk_f
4.24,0.0,0.0,0.0,Eukaryota,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae
0.0,43.42,0.0,0.0,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae
0.0,59.120000000000005,0.0,0.0,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae
0.0,326.71000000000004,0.0,0.0,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae
0.0,1266.69,0.0,0.0,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae
0.0,10.66,0.0,0.0,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,unk_f
0.0,13.23,0.0,0.0,Eukaryota,Fungi,Ascomycota,Saccharomycetes,unk_o,unk_f
