Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
269084|X04618.1 Anacystis nidulans R2 psbAIII gene for photosystem II Q(B) protein,1656,0,1265,21.74,26.09,83.33,383.33,7.6,1654.88,1e-26,1890424,Bacteria,Bacteria;_unk_k,Cyanobacteria,,Synechococcales,,,
"9606|Z61129.1 H.sapiens CpG island DNA genomic Mse1 fragment, clone 45e8, reverse read cpg45e8.rt1d",132,0,257,48.25,55.64,86.71,179.72,2.68,131.77,1e-26,9443,Eukaryota,Metazoa,Chordata,Mammalia,Primates,,,
"9606|Z79305.1 H.sapiens flow-sorted chromosome 6 TaqI fragment, SC6pA2H12",132,0,223,55.16,55.61,99.19,179.84,2.21,131.8,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
49762|X94588.1 H.imponens mitochondrial coxI gene,816,0,420,22.14,27.86,79.49,358.97,2.59,815.63,1e-26,3214,Eukaryota,Viridiplantae,Streptophyta,Bryopsida,,,,
"44745|AY894136.1 Haematococcus pluvialis alpha-tubulin mRNA, complete cds",1144,0,1387,19.03,20.55,92.63,486.67,4.11,1142.78,1e-26,3042,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,,,
"9600|DQ088046.1 Pongo pygmaeus microRNA mir-220 precursor gene, complete sequence",532,0,421,25.42,30.64,82.95,326.36,0.61,531.63,1e-26,9443,Eukaryota,Metazoa,Chordata,Mammalia,Primates,,,
"87248|AY528836.1 Hydroclathrus clathratus voucher CNUK PE013 photosystem II P680 protein D1 (psbA) gene, partial cds; plastid",548,0,885,17.51,20.34,86.11,491.67,3.41,547.22,1e-26,2877,Eukaryota,Eukaryota;_unk_k,None;_unk_p,Phaeophyceae,Ectocarpales,,,
"9606|DQ860643.1 Homo sapiens isolate VN-212 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860644.1 Homo sapiens isolate VN-236 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860648.1 Homo sapiens isolate VN-37 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860649.1 Homo sapiens isolate VN-38 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860650.1 Homo sapiens isolate VN-39 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860651.1 Homo sapiens isolate VN-116 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860652.1 Homo sapiens isolate VN-117 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860654.1 Homo sapiens isolate VN-102 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860655.1 Homo sapiens isolate VN-302 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860656.1 Homo sapiens isolate VN-70 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860658.1 Homo sapiens isolate VN-416 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860663.1 Homo sapiens isolate VN-270 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860664.1 Homo sapiens isolate VN-299 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860665.1 Homo sapiens isolate VN-403 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860666.1 Homo sapiens isolate VN-404 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860667.1 Homo sapiens isolate VN-405 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860669.1 Homo sapiens isolate VN-71 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860671.1 Homo sapiens isolate VN-223 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860673.1 Homo sapiens isolate VN-249 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860674.1 Homo sapiens isolate VN-259 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860677.1 Homo sapiens isolate VN-410 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860680.1 Homo sapiens isolate VN-97 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860682.1 Homo sapiens isolate VN-155 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860683.1 Homo sapiens isolate VN-156 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860684.1 Homo sapiens isolate VN-179 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860685.1 Homo sapiens isolate VN-200 12S ribosomal RNA gene, partial sequence; mitochondrialDQ860686.1 Homo sapiens isolate VN-79 12S ribosomal RNA gene, partial sequence; mitochondrial",636,0,954,63.52,63.94,99.34,156.39,2.73,635.16,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"3711|EF110968.1 Brassica rapa clone 876 ADP-ribosylation factor-like protein mRNA, complete cds",760,0,546,28.39,33.52,84.7,298.36,7.58,759.52,1e-26,3699,Eukaryota,Viridiplantae,Streptophyta,,Brassicales,,,
"497515|EU372950.1 Maruca vitrata cell-line NTU-MV beta-actin mRNA, partial cds",144,0,191,57.07,65.45,87.2,152.8,3.9,143.83,1e-26,7088,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,,,
