Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"195969|AF509627.1 Dolichomastix tenuilepis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast gene for chloroplast product",156084,0,1084,98.25,99.45,98.79,100.56,594.83,156083.98,1e-26,195969,Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,Dolichomastigales,Dolichomastigaceae,Dolichomastix,Dolichomastix tenuilepis
37099|AJ575574.1 Isochrysis galbana chloroplast partial psbA gene for photosystem II reaction center protein D1,13560,0,807,46.96,48.7,96.44,205.34,79.13,13559.99,1e-26,37098,Eukaryota,,,Haptophyceae,Isochrysidales,Isochrysidaceae,Isochrysis,
"100272|EU940437.1 Uncultured eukaryote clone D_E2 photosystem II protein D1 (psbA) mRNA, partial cds; chloroplast",19864,0,627,21.53,23.44,91.84,426.53,239.95,19863.99,1e-26,,Eukaryota,,,,,,,
"100272|EU940566.1 Uncultured eukaryote clone J_G3 photosystem II protein D1 (psbA) mRNA, partial cds; chloroplast",59152,0,747,52.34,54.89,95.37,182.2,468.54,59151.99,1e-26,,Eukaryota,,,,,,,
"195969|AB491650.1 Dolichomastix tenuilepis mitochondrial cox1 mRNA for cytochrome c oxidase subunit 1, partial cds, strain: CCMP2494",13052,0,1310,49.69,50.0,99.39,200.0,38.8,13051.98,1e-26,195969,Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,Dolichomastigales,Dolichomastigaceae,Dolichomastix,Dolichomastix tenuilepis
"940671|HM629512.1 Uncultured freshwater phytoplankton clone LO.08may08.02 PsbA (psbA) gene, partial cds; plastid",3056,0,608,19.74,20.23,97.56,494.31,33.95,3055.99,1e-26,,Eukaryota,,,,,,,
"225937|HG519278.1 TPA: Marinobacter adhaerens HP15 tmRNA gene Marin_adhae_HP15HG781139.1 TPA: Marinobacter adhaerens HP15 transfer-messenger mRNA Marin_adhae_HP15, single chain mature transcript",3072,0,365,71.23,71.23,100.0,140.38,47.43,3071.99,1e-26,1033846,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter adhaerens
"119754|KF896841.1 Coolia malayensis strain Dn117EHU large subunit ribosomal RNA gene, partial sequence",732,0,539,42.3,43.04,98.28,232.33,3.61,731.99,1e-26,58155,Eukaryota,,,Dinophyceae,Peridiniales,Ostreopsidaceae,Coolia,
"77133|KM657627.1 Uncultured bacterium clone IP90MLP02GT5Q4 methanol dehydrogenase (xoxF5) gene, partial cds",900,0,346,34.1,35.26,96.72,283.61,17.62,899.99,1e-26,,Bacteria,,,,,,,
"2961|KP790174.1 Amphidinium carterae isolate AR269 large subunit ribosomal RNA gene, partial sequence",392,0,608,40.62,40.62,100.0,246.15,2.4,391.99,1e-26,2961,Eukaryota,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium carterae
"1811139|KX268523.1 Kraftionema allantoideum strain 18green ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",63908,0,1458,76.68,76.68,100.0,130.41,186.28,63907.97,1e-26,1811139,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,Ulotrichales,Kraftionemaceae,Kraftionema,Kraftionema allantoideum
"2762|LC120678.1 Cyanophora paradoxa cyanelle psbA gene for photosystem II protein D1, partial cds, strain: CCAP 981/1",496,0,750,50.8,50.8,100.0,196.85,2.76,495.99,1e-26,2762,Eukaryota,,,Glaucocystophyceae,,Cyanophoraceae,Cyanophora,Cyanophora paradoxa
